-8.47E-05,0.0495753,1.88E-05,0.00070063
-8.40E-05,0.0437361,1.50E-05,0.000688449
-7.31E-05,0.0421125,3.39E-05,0.000756046
-9.06E-05,0.0485275,4.00E-05,0.000938732
-7.72E-05,0.0480101,1.40E-05,0.0010815
-5.25E-05,0.0277013,-2.94E-07,0.00110807
-2.23E-05,-0.0160131,-1.01E-05,0.00115106
-1.95E-06,-0.0277506,-2.41E-05,1.13E-03
-3.56E-05,-0.0403461,3.31E-05,1.12E-03
-5.12E-05,-0.0459704,1.22E-05,0.00102135
-3.94E-05,-0.0392814,5.25E-05,0.000693592
-6.34E-05,-0.0220245,1.18E-04,0.00049111
-6.93E-05,-0.00735103,1.13E-04,4.89E-05
-7.12E-05,0.0090429,1.28E-04,-0.000365495
-9.52E-05,0.0257207,1.05E-04,-0.000974649
-7.88E-05,0.0181053,6.48E-05,-0.00148957
-2.57E-05,0.0116204,6.25E-05,-0.00180427
-1.67E-05,0.000667306,9.78E-05,-0.00224914
-4.60E-05,0.0089438,1.03E-04,-0.00260877
-2.86E-05,0.0170966,8.00E-05,-0.00269146
-4.75E-05,0.0209419,7.15E-05,-0.00255359
-2.11E-05,0.0241298,3.62E-05,-0.00246789
-1.47E-05,0.019104,5.14E-05,-0.00240154
-6.73E-05,0.0288553,7.12E-05,-1.88E-03
-3.60E-05,0.0212037,5.98E-05,-1.63E-03
-1.46E-05,0.0198558,6.94E-05,-7.44E-04
6.92E-06,0.00912641,7.29E-05,0.000333597
7.83E-06,0.0176005,8.15E-05,0.00169563
2.04E-05,0.0106792,7.89E-05,0.00262036
7.83E-06,0.00427633,1.28E-04,0.0040299
-4.06E-05,-0.0122558,1.09E-04,0.00358221
-4.20E-05,-0.0187282,4.02E-05,0.000312383
-5.96E-05,-0.0521107,3.70E-05,0.00205279
-4.21E-05,-0.0750481,2.83E-05,9.25E-04
9.80E-06,-0.0790363,2.66E-05,9.90E-04
1.66E-05,-0.0420735,4.84E-05,3.21E-03
-2.80E-05,0.0508729,9.74E-06,0.000673932
-9.45E-06,0.0497183,3.18E-05,0.00262465
-2.03E-08,0.048941,6.07E-05,0.00478738
-5.65E-05,0.0186694,6.55E-05,0.0037465
-5.96E-05,0.0573115,5.97E-05,0.00347634
-5.15E-05,0.05413,6.06E-05,0.00114712
-0.000104859,-0.000170822,6.66E-05,0.000398301
-8.60E-05,-0.0171434,4.33E-05,0.00138783
-5.90E-05,-0.0680997,4.19E-05,-0.000120779
-5.94E-05,-0.0587659,3.14E-05,-0.00212719
-8.86E-05,-0.0828953,5.26E-05,-0.00442426
-0.000123077,-0.0552839,3.93E-05,-0.00542174
-0.000119687,-0.0315487,2.75E-05,-0.00354074
-0.000104687,-0.0372148,3.98E-05,-0.00288661
-0.000108097,0.00704361,4.91E-05,-0.0034986
-0.00012644,-0.00706634,2.81E-05,-3.51E-03
-0.000111152,0.0247551,6.70E-06,-0.00287731
-0.0001508,0.00437726,1.59E-05,-0.00185509
-0.000139322,0.00687635,2.65E-05,-0.00188219
-0.000132211,0.0101451,3.56E-05,-0.00173617
-0.000131955,0.00688494,2.48E-05,-0.00384129
-0.000122625,0.0529638,6.52E-05,-0.00405243
-0.000124901,0.0278184,9.46E-05,-0.00242893
-0.000126983,0.0387317,7.13E-05,-0.00324861
-0.000127781,0.0259962,6.67E-05,-0.00271852
-0.000182468,0.0400231,6.28E-05,-0.00190186
-0.000120526,0.0250631,4.49E-05,-0.00221366
-0.000116146,-0.0107046,6.12E-05,-1.34E-05
-0.000158975,-0.0191159,4.28E-05,0.00148771
-0.000138649,-0.0386123,3.90E-05,0.000794856
-0.000173037,-0.0375282,5.72E-05,0.00182343
-0.000170342,-0.0289634,3.44E-05,0.00125903
-0.000183118,-0.00384361,3.65E-05,0.000213649
-0.000186884,0.0018977,6.44E-05,0.000606425
-0.000170592,-0.00179086,3.26E-05,-0.000379536
-0.000172376,0.00293572,-1.83E-05,-0.00031005
-0.0001706,0.016121,1.62E-05,0.000440799
-0.000114744,0.0200241,-7.74E-06,0.000528284
-0.000116743,0.00730345,4.04E-06,0.001008
-9.94E-05,0.00571365,1.33E-05,0.00184112
-0.000111665,0.00638084,3.67E-05,0.0023
-0.00011036,0.0191477,7.94E-05,0.00229578
-0.000122428,0.0186699,6.61E-05,0.00217284
